Line output v1.0 
Length: 21 
0.03
4811.400622553445 0.0 0
4834.352199457579 1.5 0.0
4883.547447679025 1.5 0.0
4935.562248222951 1.5 0.0
4982.915237840315 1.5 0.0
5023.928552015219 1.5 0.0
5058.465512301886 1.5 0.0
5085.591991982192 1.5 0.0
5105.2587757272195 1.5 0.0
5116.797923494389 1.5 0.0
5121.030305342583 1.5 0.0
5118.378746430146 1.5 0.0
5107.9578929272975 1.5 0.0
5089.371258885882 1.5 0.0
5062.79101492096 1.5 0.0
5028.630602732139 1.5 0.0
4987.018318884376 1.5 0.0
4941.3161649635 1.5 0.0
4890.988046534291 1.5 0.0
4839.921304181972 1.5 0.0
4817.352594223255 0.0 0
0.04
1960.5679896797878 0.0 0
1968.2668335130118 1.5 0.0
1979.968749608549 1.5 0.0
1986.6933128824116 1.5 0.0
1989.3486316868775 1.5 0.0
1989.6448509977322 1.5 0.0
1988.6110574855888 1.5 0.0
1986.9504099737712 1.5 0.0
1985.1388645772724 1.5 0.0
1983.4813156242078 1.5 0.0
1982.8123431388021 1.5 0.0
1983.185420026604 1.5 0.0
1984.1976694833008 1.5 0.0
1985.709521591059 1.5 0.0
1987.3079130548367 1.5 0.0
1988.4773487756001 1.5 0.0
1988.0816919546994 1.5 0.0
1985.3775993423722 1.5 0.0
1979.118163118066 1.5 0.0
1967.1470474799335 1.5 0.0
1959.5747225399941 0.0 0
0.05
491.49513322699863 0.0 0
493.2008601804813 1.5 0.0
490.7561977000098 1.5 0.0
481.8563111594716 1.5 0.0
470.4067938699968 1.5 0.0
458.8185241313852 1.5 0.0
448.09513234969324 1.5 0.0
439.0750599341466 1.5 0.0
432.0883946637573 1.5 0.0
427.5209562959412 1.5 0.0
425.89785178704807 1.5 0.0
427.06411628477736 1.5 0.0
430.86687488545795 1.5 0.0
437.4143716692914 1.5 0.0
446.3622154808045 1.5 0.0
457.2280411752632 1.5 0.0
468.9790799791469 1.5 0.0
479.9024785783518 1.5 0.0
488.8793230283528 1.5 0.0
491.621840764392 1.5 0.0
489.9568620235213 0.0 0
0.06
46.476765124219696 0.0 0
47.13693382390115 1.5 0.0
43.08716683224938 1.5 0.0
33.86957031049744 1.5 0.0
23.372776175814106 1.5 0.0
13.502858974995691 1.5 0.0
4.866459614244533 1.5 0.0
-2.078012196513344 1.5 0.0
-7.256930513124387 1.5 0.0
-10.509069311812599 1.5 0.0
-11.599877119729861 1.5 0.0
-10.717538961940406 1.5 0.0
-7.926455719071034 1.5 0.0
-3.0235827502328023 1.5 0.0
3.873547019110946 1.5 0.0
12.58092342931579 1.5 0.0
22.553744681421005 1.5 0.0
32.543427907771665 1.5 0.0
41.753652312474436 1.5 0.0
46.03107080827066 1.5 0.0
45.37574123016322 0.0 0
0.07
-18.513381469067493 0.0 0
-17.697564253387224 1.5 0.0
-20.534489423709648 1.5 0.0
-27.088471319389463 1.5 0.0
-34.12563715014824 1.5 0.0
-40.360408665661545 1.5 0.0
-45.52729042963108 1.5 0.0
-49.48957184859811 1.5 0.0
-52.322923420817155 1.5 0.0
-54.045293588265565 1.5 0.0
-54.5781943833627 1.5 0.0
-54.072013166606304 1.5 0.0
-52.56984689350618 1.5 0.0
-49.87547087805458 1.5 0.0
-45.96419992428886 1.5 0.0
-40.806704851986176 1.5 0.0
-34.582587713699844 1.5 0.0
-27.95047024669461 1.5 0.0
-21.419622751685235 1.5 0.0
-18.528493795085026 1.5 0.0
-19.35616117665553 0.0 0
0.08
-4.764934928685502 0.0 0
-3.811586190477935 1.5 0.0
-5.707202072706834 1.5 0.0
-10.322428224601525 1.5 0.0
-14.963144602575394 1.5 0.0
-18.795051122727205 1.5 0.0
-21.764990814768797 1.5 0.0
-23.907268462762264 1.5 0.0
-25.350135922681766 1.5 0.0
-26.194915642907294 1.5 0.0
-26.42385315172613 1.5 0.0
-26.141775703440963 1.5 0.0
-25.38768547302395 1.5 0.0
-24.003512434601365 1.5 0.0
-21.913111911085835 1.5 0.0
-18.991719054015775 1.5 0.0
-15.23013977083272 1.5 0.0
-10.90700594514694 1.5 0.0
-6.315539059267271 1.5 0.0
-4.474144572947269 1.5 0.0
-5.444698718057028 0.0 0
0.09
7.559807694346163 0.0 0
8.505436077316851 1.5 0.0
7.031215065463823 1.5 0.0
3.47496582325819 1.5 0.0
0.1600626587351288 1.5 0.0
-2.3795847062740263 1.5 0.0
-4.2113855863172205 1.5 0.0
-5.444028517562155 1.5 0.0
-6.21201142492524 1.5 0.0
-6.643717698865123 1.5 0.0
-6.739711639079778 1.5 0.0
-6.570051333302822 1.5 0.0
-6.170905606727619 1.5 0.0
-5.420691381218368 1.5 0.0
-4.235626193116739 1.5 0.0
-2.461827177477267 1.5 0.0
-0.00787728205522609 1.5 0.0
3.0543164258597106 1.5 0.0
6.589544106839453 1.5 0.0
7.96028938361786 1.5 0.0
6.997660442473944 0.0 0
0.1
10.800503078973504 0.0 0
11.676157268972295 1.5 0.0
10.371422474782618 1.5 0.0
7.421688604001174 1.5 0.0
4.876056496362848 1.5 0.0
3.06017392768208 1.5 0.0
1.838128941186316 1.5 0.0
1.0724823020934608 1.5 0.0
0.6384024056462454 1.5 0.0
0.40358253151335327 1.5 0.0
0.36360908115395485 1.5 0.0
0.47231377097696764 1.5 0.0
0.6973799258496826 1.5 0.0
1.1328337018260224 1.5 0.0
1.8561162337406447 1.5 0.0
3.023165326674637 1.5 0.0
4.757811312814687 1.5 0.0
7.100813186996453 1.5 0.0
10.033804748469631 1.5 0.0
11.215619059604675 1.5 0.0
10.32566436119964 0.0 0
0.11
9.84933908368493 0.0 0
10.64815584244234 1.5 0.0
9.433490542091295 1.5 0.0
6.9008169713586875 1.5 0.0
4.873396825910324 1.5 0.0
3.5236912322410654 1.5 0.0
2.6765490919020363 1.5 0.0
2.1859423558693245 1.5 0.0
1.9408194623078403 1.5 0.0
1.8131648768879334 1.5 0.0
1.799106677821236 1.5 0.0
1.8689150041008702 1.5 0.0
1.9943863955131889 1.5 0.0
2.2494929975601052 1.5 0.0
2.7024475864171156 1.5 0.0
3.501668498388109 1.5 0.0
4.781214414142126 1.5 0.0
6.6470794717794845 1.5 0.0
9.168557918086057 1.5 0.0
10.253772230717997 1.5 0.0
9.444532699188775 0.0 0
0.12
8.038171103147151 0.0 0
8.770071147003062 1.5 0.0
7.625809728333509 1.5 0.0
5.421293215885342 1.5 0.0
3.7830693836232383 1.5 0.0
2.7670324013922576 1.5 0.0
2.176604191345775 1.5 0.0
1.8669059573644142 1.5 0.0
1.7412211180177526 1.5 0.0
1.6788987367487607 1.5 0.0
1.6780804758070693 1.5 0.0
1.7206690654595833 1.5 0.0
1.7822128309836445 1.5 0.0
1.92166054926703 1.5 0.0
2.19789235206863 1.5 0.0
2.7483944061943224 1.5 0.0
3.7066764248030757 1.5 0.0
5.2176655571037465 1.5 0.0
7.416954562165155 1.5 0.0
8.431011390003698 1.5 0.0
7.693049224029621 0.0 0
0.13
6.482772878450864 0.0 0
7.158583199102613 1.5 0.0
6.077682120586062 1.5 0.0
4.144486413580962 1.5 0.0
2.811147296655099 1.5 0.0
2.0438829033654 1.5 0.0
1.6363339752408144 1.5 0.0
1.4500599144559783 1.5 0.0
1.4022080779655506 1.5 0.0
1.3808325154481857 1.5 0.0
1.3866691429881397 1.5 0.0
1.4100146569924012 1.5 0.0
1.429628352579109 1.5 0.0
1.4927722228135547 1.5 0.0
1.6493624590006664 1.5 0.0
2.024691864137685 1.5 0.0
2.745928993793586 1.5 0.0
3.9803428401411978 1.5 0.0
5.913735802632352 1.5 0.0
6.8665097035265745 1.5 0.0
6.189046506114974 0.0 0
0.14
5.327634535389018 0.0 0
5.955798873157928 1.5 0.0
4.932264556989648 1.5 0.0
3.226263256242069 1.5 0.0
2.134635156140095 1.5 0.0
1.5546125728464617 1.5 0.0
1.2778767260367059 1.5 0.0
1.175354749835197 1.5 0.0
1.1771787907956315 1.5 0.0
1.180641557063151 1.5 0.0
1.1892213202929134 1.5 0.0
1.1992981445816107 1.5 0.0
1.1923354205499945 1.5 0.0
1.2062710393785874 1.5 0.0
1.2825476021996651 1.5 0.0
1.5339877495204675 1.5 0.0
2.078284274184237 1.5 0.0
3.0938581647277026 1.5 0.0
4.804366823065269 1.5 0.0
5.703293189295537 1.5 0.0
5.077687192615982 0.0 0
0.15
4.474840359418651 0.0 0
5.061757296676811 1.5 0.0
4.089669953758568 1.5 0.0
2.575160986639656 1.5 0.0
1.6764031422824714 1.5 0.0
1.237793545435112 1.5 0.0
1.0542746671930492 1.5 0.0
1.0075837324947523 1.5 0.0
1.0397362649596267 1.5 0.0
1.0572748546478965 1.5 0.0
1.0662831943287914 1.5 0.0
1.0675164131976784 1.5 0.0
1.0447245059571688 1.5 0.0
1.028315408225198 1.5 0.0
1.0518713110955666 1.5 0.0
1.2160595018743339 1.5 0.0
1.6276033798647465 1.5 0.0
2.468453429112744 1.5 0.0
3.9905072299834217 1.5 0.0
4.842193491671074 1.5 0.0
4.261732984332954 0.0 0
0.16
3.8235387465085697 0.0 0
4.374247498068676 1.5 0.0
3.4482555267208554 1.5 0.0
2.096432465882234 1.5 0.0
1.352775645432165 1.5 0.0
1.0215137418845464 1.5 0.0
0.9042518806771115 1.5 0.0
0.8940094421453705 1.5 0.0
0.9434796011978565 1.5 0.0
0.9681137371845137 1.5 0.0
0.9762878157886058 1.5 0.0
0.9718479945491942 1.5 0.0
0.940500330367226 1.5 0.0
0.9065503604528212 1.5 0.0
0.8964387175556908 1.5 0.0
0.9993592055846898 1.5 0.0
1.3106124833320811 1.5 0.0
2.010557459633644 1.5 0.0
3.3717752884110297 1.5 0.0
4.181823600307534 1.5 0.0
3.641115257622188 0.0 0
0.17
3.309179916623532 0.0 0
3.8277851774095124 1.5 0.0
2.943272637791249 1.5 0.0
1.7308867721646803 1.5 0.0
1.1130657650208788 1.5 0.0
0.8638419131677831 1.5 0.0
0.7936127667998527 1.5 0.0
0.8065425208060492 1.5 0.0
0.8647844135364907 1.5 0.0
0.8921436925454889 1.5 0.0
0.8988883714191157 1.5 0.0
0.890983679964854 1.5 0.0
0.8558322310188113 1.5 0.0
0.8128022585823476 1.5 0.0
0.7819685980087313 1.5 0.0
0.8419341141984901 1.5 0.0
1.0767583353285684 1.5 0.0
1.6618420607072284 1.5 0.0
2.884467498689191 1.5 0.0
3.6574889367877694 1.5 0.0
3.1520682201107917 0.0 0
0.18
2.8935189728557154 0.0 0
3.383423960094631 1.5 0.0
2.5364260571463464 1.5 0.0
1.4445597197638085 1.5 0.0
0.9297178678919644 1.5 0.0
0.7436196007248163 1.5 0.0
0.7067019796283741 1.5 0.0
0.7337772790212247 1.5 0.0
0.7952921314629352 1.5 0.0
0.8227417551199331 1.5 0.0
0.8278613746510144 1.5 0.0
0.8179974836869887 1.5 0.0
0.782044564859989 1.5 0.0
0.735396420465223 1.5 0.0
0.6925452397613401 1.5 0.0
0.722468167884776 1.5 0.0
0.8985287540426862 1.5 0.0
1.3890214525877287 1.5 0.0
2.4911685009993785 1.5 0.0
3.2309763015179715 1.5 0.0
2.757089727703559 0.0 0
0.19
2.5525236910136977 0.0 0
3.0165768955563115 1.5 0.0
2.2036481041196363 1.5 0.0
1.2167317771193396 1.5 0.0
0.786826545794007 1.5 0.0
0.6495942359714243 1.5 0.0
0.6361499859475341 1.5 0.0
0.6712634743778128 1.5 0.0
0.7325945617674442 1.5 0.0
0.7586268418004714 1.5 0.0
0.7621516561010684 1.5 0.0
0.7513367084739709 1.5 0.0
0.7164047983673938 1.5 0.0
0.6695753204261202 1.5 0.0
0.6205119729631908 1.5 0.0
0.6295380996426857 1.5 0.0
0.7600553728900803 1.5 0.0
1.1719449802163946 1.5 0.0
2.1685671645503173 1.5 0.0
2.8783740212877955 1.5 0.0
2.4328389867166025 0.0 0
0.2
2.269654467122604 0.0 0
2.710258346041735 1.5 0.0
1.9283683177218816 1.5 0.0
1.0334464086252406 1.5 0.0
0.6740835972953293 1.5 0.0
0.5748641964672649 1.5 0.0
0.5778038000414736 1.5 0.0
0.6168503009601969 1.5 0.0
0.6758990705030876 1.5 0.0
0.6997275072160041 1.5 0.0
0.7018068839916058 1.5 0.0
0.690702309283783 1.5 0.0
0.6578316209164679 1.5 0.0
0.6129052454432321 1.5 0.0
0.5614611906870529 1.5 0.0
0.5561028232805841 1.5 0.0
0.6510845119430689 1.5 0.0
0.9971472992571238 1.5 0.0
1.9007471820840036 1.5 0.0
2.5833088970887443 1.5 0.0
2.1634079258794707 0.0 0
0.21
2.03277439060055 0.0 0
2.4519715387020233 1.5 0.0
1.6984336252221919 1.5 0.0
0.8846230127459204 1.5 0.0
0.5842090025511707 1.5 0.0
0.5146706813392091 1.5 0.0
0.5288652389803985 1.5 0.0
0.5691163441419261 1.5 0.0
0.6246831983380081 1.5 0.0
0.6459756728177211 1.5 0.0
0.6468138550394459 1.5 0.0
0.635841745573446 1.5 0.0
0.6055609325183265 1.5 0.0
0.5637254155775906 1.5 0.0
0.512387341483408 1.5 0.0
0.4973018180691456 1.5 0.0
0.5644054543957817 1.5 0.0
0.8549714682827638 1.5 0.0
1.6761155349624597 1.5 0.0
2.3338267109291237 1.5 0.0
